path,name,extension,size_kb,categoria,justificativa
README.md,README.md,.md,0.04,TESE_PROVAVEL,README do projeto
scripts\scan_projeto_tese.py,scan_projeto_tese.py,.py,3.61,ACERVO_LIVROS,Utilitário genérico / inventário
resultados\capitulo_5\evidencias\meteo_bruta_PVH_2017_full.csv,meteo_bruta_PVH_2017_full.csv,.csv,70.57,TESE_PROVAVEL,Evidência/resultado do Capítulo 5 (resultados/capitulo_5)
resultados\capitulo_5\evidencias\meteo_bruta_PVH_2017_full.parquet,meteo_bruta_PVH_2017_full.parquet,.parquet,21.65,TESE_PROVAVEL,Evidência/resultado do Capítulo 5 (resultados/capitulo_5)
scripts\capitulo_5\Resultados_Cap5.p1_2_validacao_meteorologica.py,Resultados_Cap5.p1_2_validacao_meteorologica.py,.py,5.43,TESE_PROVAVEL,Script do Capítulo 5 (organizado)
TESE_Prof. Maciel_até 30-12-2025\06_Resultados\converter_prisma_ndvi_he5_para_tif_bandas_corrigidas_T1.py,converter_prisma_ndvi_he5_para_tif_bandas_corrigidas_T1.py,.py,1.75,DADOS_EXTERNOS,Código auxiliar fora do núcleo metodológico
TESE_Prof. Maciel_até 30-12-2025\06_Resultados\converter_prisma_ndvi_he5_para_tif_bandas_corrigidas_T2.py,converter_prisma_ndvi_he5_para_tif_bandas_corrigidas_T2.py,.py,1.75,DADOS_EXTERNOS,Código auxiliar fora do núcleo metodológico
TESE_Prof. Maciel_até 30-12-2025\06_Resultados\explorar_he5.py,explorar_he5.py,.py,0.41,DADOS_EXTERNOS,Código auxiliar fora do núcleo metodológico
TESE_Prof. Maciel_até 30-12-2025\06_Resultados\gerar_prisma_bandas_corrigidas_T1.py,gerar_prisma_bandas_corrigidas_T1.py,.py,1.61,DADOS_EXTERNOS,Código auxiliar fora do núcleo metodológico
TESE_Prof. Maciel_até 30-12-2025\06_Resultados\gerar_prisma_bandas_corrigidas_T2.py,gerar_prisma_bandas_corrigidas_T2.py,.py,1.61,DADOS_EXTERNOS,Código auxiliar fora do núcleo metodológico
TESE_Prof. Maciel_até 30-12-2025\06_Resultados\MascaraT1_Soja,MascaraT1_Soja,,1.49,DADOS_EXTERNOS,Arquivo sem extensão em pasta de dados/resultados
TESE_Prof. Maciel_até 30-12-2025\06_Resultados\prisma_ndvi_bandas_corrigidas_T1.tif,prisma_ndvi_bandas_corrigidas_T1.tif,.tif,622.6,DADOS_EXTERNOS,PRISMA/MapBiomas/ATTOS (pré-processamento/dados externos)
TESE_Prof. Maciel_até 30-12-2025\06_Resultados\prisma_ndvi_bandas_corrigidas_T2.tif,prisma_ndvi_bandas_corrigidas_T2.tif,.tif,705.62,DADOS_EXTERNOS,PRISMA/MapBiomas/ATTOS (pré-processamento/dados externos)
