system:index,CO2Flux,NDVI,NIR,PRI,R531,R570,RED,data_imagem,estacao_meteorologica,lat,lon,sPRI,scene_id,sensor,.geo
0,-0.9367697,0.4315127,62.575,0.01975477,37.425,35.975,24.85,2012-07-09,INMET Rio Branco A104,-9.715375741827177,-68.31851859679423,0.5098774,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31851859679423,-9.715375741827177]}"
1,-2.3972208,0.47023296,63.9,0.02960641,36.95,34.825,23.025,2012-07-09,INMET Rio Branco A104,-9.715647702062565,-68.31879143347314,0.51480323,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31879143347314,-9.715647702062565]}"
2,-0.23992251,0.4097242,61.975,0.022606382,38.45,36.75,25.95,2012-07-09,INMET Rio Branco A104,-9.715647157725899,-68.31851804764922,0.5113032,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31851804764922,-9.715647157725899]}"
3,1.276683,0.366759,61.675,0.017487047,39.275,37.925,28.575,2012-07-09,INMET Rio Branco A104,-9.715646613170863,-68.31824466184136,0.5087435,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31824466184136,-9.715646613170863]}"
4,0.27494583,0.3898402,60.875,0.034868423,39.325,36.675,26.725,2012-07-09,INMET Rio Branco A104,-9.715918573620312,-68.31851749848812,0.51743424,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31851749848812,-9.715918573620312]}"
5,0.632573,0.38285092,63.3,0.025542784,40.15,38.15,28.25,2012-07-09,INMET Rio Branco A104,-9.715918029049778,-68.31824411246001,0.51277137,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31824411246001,-9.715918029049778]}"
6,-0.4220288,0.41324392,63.225,0.027208598,38.225,36.2,26.25,2012-07-09,INMET Rio Branco A104,-9.716189989510383,-68.31851694931095,0.5136043,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31851694931095,-9.716189989510383]}"
7,-0.21676777,0.40953413,65.05,0.021373058,39.425,37.775,27.25,2012-07-09,INMET Rio Branco A104,-9.716189444924352,-68.31824356306257,0.5106865,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31824356306257,-9.716189444924352]}"
8,-7.2582,0.619841,53.475,0.017997751,22.625,21.825,12.55,2012-07-09,INMET Rio Branco A104,-9.866888329544906,-68.35021039340788,0.5089989,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.35021039340788,-9.866888329544906]}"
9,-7.450399,0.62134254,94.2,0.02488189,40.675,38.7,22.0,2012-07-09,INMET Rio Branco A104,-9.867159217532876,-68.34993634991697,0.5124409,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.34993634991697,-9.867159217532876]}"
