ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,TA,ERA_SLOPE,1.00,-9999
1,TA,ERA_INTERCEPT,-0.04,-9999
1,TA,ERA_RMSE,2.26,-9999
1,TA,ERA_CORRELATION,0.98,-9999
2,PA,ERA_SLOPE,1.00,-9999
2,PA,ERA_INTERCEPT,-0.36,-9999
2,PA,ERA_RMSE,0.24,-9999
2,PA,ERA_CORRELATION,0.95,-9999
3,VPD,ERA_SLOPE,1.01,-9999
3,VPD,ERA_INTERCEPT,-0.07,-9999
3,VPD,ERA_RMSE,3.65,-9999
3,VPD,ERA_CORRELATION,0.85,-9999
4,WS,ERA_SLOPE,1.01,-9999
4,WS,ERA_INTERCEPT,-0.00,-9999
4,WS,ERA_RMSE,1.38,-9999
4,WS,ERA_CORRELATION,0.79,-9999
5,P,ERA_SLOPE,0.35,-9999
5,P,ERA_INTERCEPT,-9999,-9999
5,P,ERA_RMSE,-9999,-9999
5,P,ERA_CORRELATION,-9999,-9999
6,SW_IN,ERA_SLOPE,1.01,-9999
6,SW_IN,ERA_INTERCEPT,-0.38,-9999
6,SW_IN,ERA_RMSE,80.68,-9999
6,SW_IN,ERA_CORRELATION,0.95,-9999
7,LW_IN,ERA_SLOPE,1.00,-9999
7,LW_IN,ERA_INTERCEPT,-0.01,-9999
7,LW_IN,ERA_RMSE,19.94,-9999
7,LW_IN,ERA_CORRELATION,0.95,-9999
8,LW_IN_JSB,ERA_SLOPE,1.00,-9999
8,LW_IN_JSB,ERA_INTERCEPT,0.01,-9999
8,LW_IN_JSB,ERA_RMSE,30.97,-9999
8,LW_IN_JSB,ERA_CORRELATION,0.94,-9999
