system:index,lat,lon,lwdown_wm2,ps_pa,rain_mm,swdown_wm2,t2m_c,td2m_c,time_utc,u10_ms,v10_ms,wind_ms,.geo
20151001T00,-12.553360853740477,-52.28821087761995,9879.236388888889,96939.3984375,0.3138363360335461,5869.391649305556,27.502038574218773,20.21033630371096,2015-10-01 00:00:00,-0.4572296142578125,1.48919677734375,1.5578080632110487,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T01,-12.553360853740477,-52.28821087761995,415.0857291666667,97045.2109375,0.0,0.0,26.982583618164085,20.20710144042971,2015-10-01 01:00:00,0.058380126953125,1.5284271240234375,1.5295416675179592,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T02,-12.553360853740477,-52.28821087761995,824.1204340277778,97080.72265625,0.0,0.0,26.378259277343773,20.316278076171898,2015-10-01 02:00:00,0.2676849365234375,1.4714202880859375,1.4955710914003586,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T03,-12.553360853740477,-52.28821087761995,1231.4961805555556,97073.15625,0.0,0.0,25.852929687500023,20.362451171875023,2015-10-01 03:00:00,0.0263824462890625,1.4550933837890625,1.4553325355460516,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T04,-12.553360853740477,-52.28821087761995,1640.9245833333334,97007.46484375,0.0,0.0,25.516015625000023,20.26270446777346,2015-10-01 04:00:00,-0.07037353515625,1.4039459228515625,1.4057085717679585,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T05,-12.553360853740477,-52.28821087761995,2047.0809722222223,96942.57421875,0.0,0.0,25.237878417968773,20.085198974609398,2015-10-01 05:00:00,-0.0666046142578125,1.45819091796875,1.4597112481196333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T06,-12.553360853740477,-52.28821087761995,2446.4531944444443,96910.70703125,0.0,0.0,24.942178344726585,19.85218200683596,2015-10-01 06:00:00,-0.2399444580078125,1.5172576904296875,1.5361133558747193,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T07,-12.553360853740477,-52.28821087761995,2843.563888888889,96825.80078125,0.0,0.0,24.687219238281273,18.833276367187523,2015-10-01 07:00:00,-0.16107177734375,1.6827392578125,1.690430574510541,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T08,-12.553360853740477,-52.28821087761995,3232.9730555555557,96869.3671875,0.0,0.0,24.365106201171898,18.455895996093773,2015-10-01 08:00:00,-0.12603759765625,1.612823486328125,1.6177407314135868,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T09,-12.553360853740477,-52.28821087761995,3617.6341666666667,96894.1328125,0.0,0.0,24.004800415039085,18.164208984375023,2015-10-01 09:00:00,-0.224884033203125,1.5644989013671875,1.58057889419315,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T10,-12.553360853740477,-52.28821087761995,4001.2994444444444,96959.578125,0.0,36.10166666666667,23.985452270507835,18.62793884277346,2015-10-01 10:00:00,-0.163665771484375,1.194793701171875,1.2059512731099724,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T11,-12.553360853740477,-52.28821087761995,4383.565277777778,97039.70703125,0.0,265.63666666666666,26.238061523437523,19.195291137695335,2015-10-01 11:00:00,-0.1513824462890625,0.76513671875,0.779968488737832,"{""type"":""MultiPoint"",""coordinates"":[]}"
