system:index,PAR_MJ_m2_h,datetime_utc,lat,lon,ssrd_J_m2,ssrd_MJ_m2_h,swdown_Wm2,.geo
20151001T00,9.486770371875,2015-10-01 00:00:00,-10,-60,2.10817119375E7,21.0817119375,5856.03109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T01,0.0,2015-10-01 01:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T02,0.0,2015-10-01 02:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T03,0.0,2015-10-01 03:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T04,0.0,2015-10-01 04:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T05,0.0,2015-10-01 05:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T06,0.0,2015-10-01 06:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T07,0.0,2015-10-01 07:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T08,0.0,2015-10-01 08:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T09,0.0,2015-10-01 09:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T10,0.0031896,2015-10-01 10:00:00,-10,-60,7088.0,0.007088,1.968888888888889,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T11,0.1334349,2015-10-01 11:00:00,-10,-60,296522.0,0.296522,82.36722222222222,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T12,0.5025285,2015-10-01 12:00:00,-10,-60,1116730.0,1.11673,310.2027777777778,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T13,1.1587428000000002,2015-10-01 13:00:00,-10,-60,2574984.0,2.574984,715.2733333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T14,2.0581092,2015-10-01 14:00:00,-10,-60,4573576.0,4.573576,1270.4377777777777,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T15,3.1696824304687503,2015-10-01 15:00:00,-10,-60,7043738.734375,7.043738734375,1956.5940928819443,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T16,4.397123698242187,2015-10-01 16:00:00,-10,-60,9771385.99609375,9.77138599609375,2714.2738878038194,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T17,5.55306975,2015-10-01 17:00:00,-10,-60,1.2340155E7,12.340155,3427.820833333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T18,6.595096471875,2015-10-01 18:00:00,-10,-60,1.46557699375E7,14.6557699375,4071.047204861111,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T19,7.525216546875001,2015-10-01 19:00:00,-10,-60,1.67227034375E7,16.7227034375,4645.195399305556,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T20,8.130273609375,2015-10-01 20:00:00,-10,-60,1.80672746875E7,18.0672746875,5018.687413194444,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T21,8.441794209375,2015-10-01 21:00:00,-10,-60,1.87595426875E7,18.7595426875,5210.984079861111,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T22,8.509315809375,2015-10-01 22:00:00,-10,-60,1.89095906875E7,18.9095906875,5252.6640798611115,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001T23,8.509315809375,2015-10-01 23:00:00,-10,-60,1.89095906875E7,18.9095906875,5252.6640798611115,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151002T00,8.509315809375,2015-10-02 00:00:00,-10,-60,1.89095906875E7,18.9095906875,5252.6640798611115,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151002T01,0.0,2015-10-02 01:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151002T02,0.0,2015-10-02 02:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151002T03,0.0,2015-10-02 03:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151002T04,0.0,2015-10-02 04:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151002T05,0.0,2015-10-02 05:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151002T06,0.0,2015-10-02 06:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151002T07,0.0,2015-10-02 07:00:00,-10,-60,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
