ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2001
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2002
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2003
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2004
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2005
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2006
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2007
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2008
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2009
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2010
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2011
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2012
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2013
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2001
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2002
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2003
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2004
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2005
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2006
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2007
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2008
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2009
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2010
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2011
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2012
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2013
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.14,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.1,2001
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.11,2002
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.111667,2003
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.144722,2004
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.150652,2005
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.154821,2006
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.158945,2007
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.153417,2008
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.162111,2009
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.158275,2010
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.144,2011
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.1143,2012
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.104,2013
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,46.25,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.1302,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2001
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.098,2001
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2002
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.1,2002
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2003
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.106,2003
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2004
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.136393,2004
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2005
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.143778,2005
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2006
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.147851,2006
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2007
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.147143,2007
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2008
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.138056,2008
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2009
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.144,2009
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2010
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.146148,2010
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2011
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.128796,2011
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2012
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.1075,2012
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2013
