ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2001
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2002
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2003
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2004
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2005
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2006
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2007
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2008
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2009
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2010
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2011
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2012
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2013
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2001
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2002
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2003
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2004
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2005
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2006
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2007
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2008
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2009
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2010
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2011
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2012
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2013
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.1572,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.154286,2001
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.153643,2002
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.164286,2003
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.15,2004
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.155663,2005
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.158907,2006
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.169125,2007
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.160629,2008
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.162641,2009
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.164375,2010
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.167003,2011
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.145,2012
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.118485,2013
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,48.75,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.155,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2001
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.15,2001
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2002
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.145,2002
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2003
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.154063,2003
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2004
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.144111,2004
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2005
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.15048,2005
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2006
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.151667,2006
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2007
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.160731,2007
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2008
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.155523,2008
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2009
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.1572,2009
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2010
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.158918,2010
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2011
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.161308,2011
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2012
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.135167,2012
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2013
