TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010101,20010107,-4.995,0.0,154.509,96.2,0.0,239.524,0.0,0.85,0.0,97.896,0.0,0.01,0.0,4.316,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,115.794,0.0,110.845,-9999,19.3068,0.0,18.4817,-9999,-0.349984,0.0,-9999,-0.610543,-0.418695,-0.405366,0.0,0.0,0.0,0.641416,0.546243,0.627773,0.641416,1.04678,0.990346,1.04647,1.30498,0.363226,0.354908,0.363734,0.580202,1.70855,1.65902,1.70855,1.78537,-9999,-9999
20010108,20010114,-1.452,0.0,161.331,84.782,0.0,266.203,0.0,0.638,0.0,97.402,0.0,2.192,0.0,4.288,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,112.439,0.0,107.634,-9999,20.8462,0.0,19.9553,-9999,-0.367736,0.0,-9999,-0.595625,-0.451241,-0.439054,0.0,0.0,0.0,0.809093,0.693179,0.792732,0.809093,1.24815,1.17968,1.24529,1.47662,0.460244,0.450241,0.460777,0.730215,1.57623,1.52583,1.57623,1.6321,-9999,-9999
20010115,20010121,-8.441,0.0,170.892,106.774,0.0,230.252,0.0,0.364,0.0,98.157,0.0,0.049,0.0,4.126,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,111.942,0.0,107.159,-9999,18.2271,0.0,17.4482,-9999,-0.379492,0.0,-9999,-0.601095,-0.447018,-0.429807,0.0,0.0,0.0,0.393324,0.316926,0.380082,0.393324,0.823131,0.786538,0.828534,1.04323,0.213952,0.206561,0.213952,0.375771,1.79888,1.75144,1.79888,1.88188,-9999,-9999
20010122,20010128,-6.435,0.0,183.016,105.732,0.0,237.852,0.0,0.481,0.0,98.161,0.0,1.162,0.0,4.312,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,115.794,0.0,110.845,-9999,19.3068,0.0,18.4817,-9999,-0.349984,0.0,-9999,-0.610543,-0.418695,-0.405366,0.0,0.0,0.0,0.493532,0.405725,0.479987,0.493532,0.898898,0.85154,0.898975,1.14897,0.272405,0.264138,0.272405,0.46174,1.75113,1.70474,1.75113,1.83276,-9999,-9999
20010129,20010204,-5.622,0.0,197.463,90.977,0.0,259.027,0.0,0.481,0.0,97.176,0.0,3.041,0.0,5.025,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,112.439,0.0,101.016,-9999,20.8462,0.0,18.7283,-9999,-0.367736,0.0,-9999,-0.595625,-0.451241,-0.439054,0.0,0.0,0.0,0.576855,0.483153,0.563088,0.576855,1.01591,0.961095,1.01433,1.22071,0.322759,0.314218,0.322759,0.529078,1.60888,1.55996,1.60888,1.67496,-9999,-9999
20010205,20010211,-7.503,0.0,213.937,110.003,0.0,249.521,0.0,0.496,0.0,97.707,0.0,4.467,0.0,4.649,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,111.942,0.0,104.327,-9999,18.2271,0.0,16.9871,-9999,-0.379492,0.0,-9999,-0.601095,-0.447018,-0.429807,0.0,0.0,0.0,0.500785,0.419082,0.488711,0.500785,0.930592,0.887396,0.935728,1.15645,0.279978,0.272552,0.279978,0.460569,1.81489,1.76547,1.81489,1.90211,-9999,-9999
20010212,20010218,-9.886,0.0,232.094,146.079,0.0,237.422,0.0,0.263,0.0,98.236,0.0,0.798,0.0,4.033,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,115.794,0.0,113.52,-9999,19.3068,0.0,18.9276,-9999,-0.349984,0.0,-9999,-0.610543,-0.418695,-0.405366,0.0,0.0,0.0,0.336755,0.270753,0.325218,0.336755,0.742121,0.729094,0.745161,0.969865,0.182838,0.176476,0.182838,0.323448,2.13815,2.09216,2.13815,2.24678,-9999,-9999
20010219,20010225,-5.631,0.0,251.555,132.841,0.0,259.489,0.0,0.435,0.0,97.6,0.0,7.106,0.0,4.527,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,112.439,0.0,115.422,-9999,20.8462,0.0,21.3991,-9999,-0.367736,0.0,-9999,-0.595625,-0.451241,-0.439054,0.0,0.0,0.0,0.541428,0.449463,0.527716,0.541428,0.980482,0.927858,0.978957,1.18375,0.300961,0.292449,0.300961,0.501573,1.99186,1.94393,1.99186,2.08476,-9999,-9999
20010226,20010304,-7.064,0.0,271.926,157.467,0.0,247.07,0.0,0.35,0.0,97.768,0.0,1.323,0.0,3.621,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,111.942,0.0,124.13,-9999,18.2271,0.0,20.2115,-9999,-0.379492,0.0,-9999,-0.601095,-0.447018,-0.429807,0.0,0.0,0.0,0.463764,0.379833,0.450463,0.463764,0.893571,0.852881,0.898044,1.12162,0.255272,0.247331,0.255272,0.435751,2.27211,2.22337,2.27211,2.3878,-9999,-9999
20010305,20010311,-2.685,0.0,292.815,162.514,0.0,254.894,0.0,0.837,0.0,97.827,0.0,2.573,0.0,2.796,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,115.794,0.0,127.651,-9999,19.3068,0.0,21.2837,-9999,-0.349984,0.0,-9999,-0.610543,-0.418695,-0.405366,0.0,0.0,0.0,0.729172,0.620715,0.713648,0.729172,1.13454,1.07322,1.13234,1.40658,0.412823,0.403312,0.413316,0.659563,2.287,2.24285,2.287,2.40622,-9999,-9999
