system:index,CO2Flux,NDVI,NIR,PRI,R531,R570,RED,data_imagem,estacao_meteorologica,lat,lon,sPRI,scene_id,sensor,.geo,NDVI_py,PRI_py,sPRI_py,CO2Flux_py
0,-0.9367697,0.4315127,62.575,0.01975477,37.425,35.975,24.85,2012-07-09,INMET Rio Branco A104,-9.715375741827176,-68.31851859679423,0.5098774,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31851859679423,-9.715375741827177]}",0.43151272519302253,0.019754768392370513,0.5098773841961852,-0.936770097510589
1,-2.3972208,0.47023296,63.9,0.02960641,36.95,34.825,23.025,2012-07-09,INMET Rio Branco A104,-9.715647702062563,-68.31879143347314,0.51480323,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31879143347314,-9.715647702062565]}",0.47023295944779986,0.029606408916753743,0.5148032044583769,-2.3972206970481356
2,-0.23992251,0.4097242,61.975,0.022606382,38.45,36.75,25.95,2012-07-09,INMET Rio Branco A104,-9.7156471577259,-68.31851804764922,0.5113032,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31851804764922,-9.715647157725899]}",0.40972419675860117,0.02260638297872344,0.5113031914893618,-0.23992221349645426
3,1.276683,0.366759,61.675,0.017487047,39.275,37.925,28.575,2012-07-09,INMET Rio Branco A104,-9.715646613170865,-68.31824466184136,0.5087435,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31824466184136,-9.715646613170863]}",0.36675900277008305,0.017487046632124373,0.5087435233160622,1.2766830023825602
4,0.27494583,0.3898402,60.875,0.034868423,39.325,36.675,26.725,2012-07-09,INMET Rio Branco A104,-9.715918573620312,-68.31851749848812,0.51743424,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31851749848812,-9.715918573620312]}",0.3898401826484018,0.03486842105263165,0.5174342105263158,0.2749459427947034
5,0.632573,0.38285092,63.3,0.025542784,40.15,38.15,28.25,2012-07-09,INMET Rio Branco A104,-9.715918029049778,-68.31824411246001,0.51277137,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31824411246001,-9.715918029049778]}",0.3828509011469142,0.02554278416347382,0.5127713920817369,0.6325734874689015
6,-0.4220288,0.41324392,63.225,0.027208598,38.225,36.2,26.25,2012-07-09,INMET Rio Branco A104,-9.716189989510385,-68.31851694931095,0.5136043,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31851694931095,-9.716189989510383]}",0.41324392288348705,0.027208599261000985,0.5136042996305005,-0.4220289469897871
7,-0.21676777,0.40953413,65.05,0.021373058,39.425,37.775,27.25,2012-07-09,INMET Rio Branco A104,-9.716189444924352,-68.31824356306257,0.5106865,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31824356306257,-9.716189444924352]}",0.40953412784398696,0.02137305699481864,0.5106865284974094,-0.21676781263507472
8,-7.2582,0.619841,53.475,0.017997751,22.625,21.825,12.55,2012-07-09,INMET Rio Branco A104,-9.866888329544906,-68.35021039340788,0.5089989,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.35021039340788,-9.866888329544906]}",0.6198409693297993,0.017997750281214864,0.5089988751406074,-7.258199665949549
9,-7.450399,0.62134254,94.2,0.02488189,40.675,38.7,22.0,2012-07-09,INMET Rio Branco A104,-9.867159217532876,-68.34993634991697,0.5124409,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.34993634991697,-9.867159217532876]}",0.621342512908778,0.024881889763779457,0.5124409448818897,-7.450397809370211
