TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2001,10.354,0.569977,180.875,0.569292,314.195,0.569292,4.576,0.569977,97.608,0.565411,1261.325,0.569863,3.349,0.569863,0.302276365126,0.519634703196,98.3446163479,0.567351598174,378.058757275,0.568607305936,-9999,-9999,-9999,-9999,36.9682813458,0.53299086758,387.410724874,0.568721461187,-9999,-9999,-9999,-9999,-9999,-9999,9.44062,0.755023,72.0663,0.566096,88.9302,0.316186,29.7359,0.567694,36.6943,0.271056,-513.941,0.342352,20.6932,-518.1,-514.223,-509.961,0.3379,0.342808,0.344521,1137.02,1133.89,1137.02,1139.57,1651.24,1639.64,1651.24,1656.42,1323.74,1313.63,1323.74,1345.82,2095.42,2095.42,2108.34,2160.82,-9999,-9999
2002,10.568,1.0,183.036,1.0,310.484,1.0,5.434,1.0,97.493,0.998973,743.114,1.0,3.681,1.0,0.27450636035,0.89703196347,89.0413400327,0.998401826484,362.774147876,0.999885844749,163.916762443,1.0,62.0167201887,0.627168949772,49.6390294319,0.794406392694,365.182402397,1.0,384.727,1.0,11.286,1.0,-9999,-9999,2.97624,1.0,47.6131,0.99532,58.7665,0.206165,22.0173,0.998288,27.1749,0.251387,133.979,0.583562,8.62158,133.583,158.364,162.143,0.534817,0.59121,0.588242,1098.99,1069.99,1098.99,1130.94,938.2,938.2,951.632,967.161,915.77,895.594,914.055,959.186,1171.95,1158.35,1171.95,1193.48,-9999,-9999
2003,10.124,0.848174,182.054,1.0,309.655,1.0,5.01,1.0,97.388,0.993151,891.798,1.0,3.404,1.0,0.279200366493,0.926940639269,89.6432088129,0.993607305936,544.147808128,0.650913242009,161.442425757,0.996118721461,68.6537678078,0.524086757991,53.9685627458,0.646917808219,362.018782192,1.0,387.239,1.0,10.837,1.0,-9999,-9999,1.13262,0.999886,56.2882,0.996347,67.6402,0.253003,17.0755,0.998744,20.5192,0.239578,-612.658,0.967009,11.5366,-649.863,-624.293,-577.872,0.97637,0.969749,0.95274,1145.42,1099.54,1158.36,1235.2,1769.72,1749.4,1788.88,1811.59,1284.52,1203.99,1252.59,1276.82,1810.74,1811.59,1855.77,1862.65,-9999,-9999
2004,10.409,0.998975,178.019,0.99852,312.393,1.0,4.322,1.0,97.707,0.998065,791.464,1.0,3.412,0.999658,0.275374434421,0.94114298725,83.1762890011,0.993283242259,-9999,-9999,167.163454199,0.99704007286,-9999,-9999,54.137570524,0.665186703097,364.588265597,1.0,390.016,1.0,11.328,0.998975,-9999,-9999,-0.120958,0.999886,45.1664,0.990437,54.8913,0.217364,22.9285,0.997837,27.8653,0.247587,137.606,0.957195,5.42574,116.033,132.033,144.868,0.969832,0.959472,0.948998,1009.53,995.661,1009.53,1052.36,877.494,872.285,886.088,907.526,1005.41,954.609,980.669,1007.32,937.619,918.418,935.316,939.633,-9999,-9999
2005,11.044,1.0,181.381,1.0,315.596,1.0,5.034,1.0,97.663,0.999543,863.854,1.0,3.445,0.999886,0.285693581711,0.914611872146,89.1074334234,0.994178082192,591.339620227,0.538926940639,168.799248551,0.999771689498,44.430987386,0.539840182648,47.4832283482,0.751598173516,367.317020538,0.999885844749,390.727,1.0,11.983,0.999087,-9999,-9999,1.36236,0.999886,51.2446,0.993836,61.3546,0.228668,21.5942,0.998402,25.8545,0.239004,-516.764,0.960616,6.65195,-537.334,-524.46,-500.267,0.968721,0.963242,0.955822,1088.29,1072.54,1088.29,1135.03,1612.75,1609.87,1614.36,1635.29,1163.76,1140.87,1163.76,1210.2,1655.86,1608.76,1637.85,1655.28,-9999,-9999
2006,11.296,1.0,178.469,1.0,314.46,1.0,4.973,1.0,97.658,0.997489,834.842,1.0,3.462,0.999772,0.283077721839,0.943607305936,85.9163162706,0.994634703196,436.923591435,0.781392694064,160.827651941,1.0,51.1470441051,0.780936073059,43.6151319856,0.846803652968,368.911121233,1.0,395.52,0.999543,11.395,0.999886,-9999,-9999,1.5775,0.997945,46.3696,0.997717,55.0122,0.227765,24.7849,0.999201,29.4045,0.2409,40.8272,0.964155,6.58601,38.4638,45.2121,53.0906,0.973402,0.966096,0.95137,1022.19,1016.03,1024.08,1039.15,976.135,977.407,981.967,986.059,1091.71,1009.23,1060.15,1099.85,1157.13,1081.05,1131.38,1175.53,-9999,-9999
2007,10.654,1.0,183.109,0.999315,315.737,1.0,3.977,1.0,97.724,0.997374,1120.14,1.0,3.531,1.0,0.295727420181,0.9100456621,87.4067559965,0.996575342466,357.653939708,0.99703196347,173.961806393,1.0,55.4223085616,1.0,46.0253607725,0.994178082192,365.352343721,1.0,395.165,0.996575,11.669,0.999429,-9999,-9999,1.46326,0.998402,54.0245,0.996233,65.1962,0.235846,17.224,0.997489,20.7858,0.244469,-563.823,0.956621,9.44902,-581.447,-565.891,-563.63,0.976027,0.928767,0.959932,1237.52,1214.93,1234.04,1239.34,1801.15,1793.88,1801.15,1805.97,1480.77,1427.8,1457.69,1501.29,1887.18,1827.91,1869.51,1894.2,-9999,-9999
2008,9.023,1.0,182.73,0.998065,304.018,1.0,3.85,1.0,97.506,0.999886,1074.547,1.0,3.577,1.0,0.278969945687,0.926684881603,82.6781094804,0.997381602914,287.085228847,0.910746812386,161.924478142,1.0,52.6540048953,1.0,45.7379588782,0.984517304189,357.643395719,0.999658469945,400.988,0.999886,10.118,0.998634,-9999,-9999,-0.268248,0.999658,46.8184,0.997837,56.7975,0.301692,21.4298,0.998975,25.9974,0.240427,63.9589,0.953324,8.01357,48.6741,62.516,81.0108,0.971653,0.966758,0.919171,774.984,762.762,784.787,822.166,716.993,714.39,721.297,731.41,1031.59,945.875,989.423,1104.83,897.411,802.255,867.79,930.426,-9999,-9999
2009,9.058,1.0,178.627,1.0,307.778,1.0,4.255,1.0,97.47,0.997374,671.322,1.0,3.318,0.999886,0.289028354098,0.935388127854,88.3665534752,0.997716894977,356.017831527,0.998744292237,164.01164395,1.0,37.6434520548,1.0,40.0789990546,0.976826484018,358.285822603,1.0,397.86,1.0,10.361,0.999658,-9999,-9999,-0.57595,1.0,45.8306,0.994178,55.956,0.195692,22.6391,0.994977,27.6408,0.223636,-777.595,0.961416,8.64284,-782.218,-776.801,-768.184,0.982991,0.969178,0.94863,1166.63,1153.15,1159.22,1178.27,1943.43,1933.37,1938.83,1946.33,1219.6,1273.0,1295.38,1332.96,1981.71,1965.62,1996.7,2036.94,-9999,-9999
2010,9.875,1.0,183.047,0.999201,314.833,1.0,4.425,1.0,97.407,0.998174,915.416,1.0,3.408,1.0,0.29592174543,0.931050228311,87.6303149281,0.998858447489,354.618037601,0.994634703196,163.691305023,1.0,56.9046031963,1.0,47.825283029,0.975913242009,363.559485681,0.999657534247,404.841,0.985388,11.188,1.0,-9999,-9999,0.618313,0.999886,47.4754,0.99121,58.3338,0.206966,23.1793,0.991096,28.4808,0.212385,-228.895,0.941781,7.58307,-272.964,-243.975,-217.965,0.976712,0.957991,0.925114,1205.25,1175.46,1206.54,1225.52,1449.23,1442.82,1447.66,1450.6,1238.76,1200.57,1209.79,1238.07,1479.26,1463.23,1469.48,1479.26,-9999,-9999
2011,9.821,1.0,180.771,0.999429,311.001,1.0,4.827,1.0,97.408,0.967808,805.18,1.0,3.484,1.0,0.285847814352,0.895662100457,90.4664846373,0.998287671233,357.552033551,0.997488584475,154.632080594,1.0,43.6406303653,1.0,38.9928828463,0.975913242009,362.72906027,0.999429223744,405.229,1.0,11.248,0.999772,-9999,-9999,0.481867,1.0,56.4496,0.989155,67.4968,0.239799,18.5394,0.985731,22.1676,0.212628,-304.839,0.966324,9.11655,-305.96,-298.422,-285.459,0.977283,0.978196,0.952397,1295.76,1291.37,1310.97,1345.28,1599.25,1593.79,1611.83,1634.02,1589.73,1494.16,1526.32,1569.81,1720.25,1745.87,1754.7,1772.47,-9999,-9999
