"Ordem","Etapa","Descricao"
"0","00_configuracao","Configurações, parâmetros e metadados"
"1","01_entrada_dados","Dados de entrada processados"
"2","02_preprocessamento_hyperion","Pré-processamento EO-1 Hyperion"
"3","03_mascara_soja_mapbiomas","Máscara de soja MapBiomas"
"4","04_indices_espectrais","Índices espectrais"
"5","05_meteorologia","Meteorologia ERA5-Land e INMET"
"6","06_modelo_biofisico_isba_svat","Modelo biofísico ISBA/SVAT"
"7","07_xgboost_residual","XGBoost residual"
"8","08_modelo_hibrido_nee","NEE híbrido"
"9","09_validacao_metricas","Validação e métricas"
"10","10_figuras_tabelas","Figuras e tabelas"
"11","11_scripts_construcao_tese_microprocessos","Scripts auxiliares e microprocessos da construção da tese"
