TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010101,-17.036,0.0,152.443,99.958,0.0,200.813,0.0,0.0,0.0,99.195,0.0,0.0,0.0,2.168,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.2498,0.0,72.1622,-9999,-9999,-9999,66.4231,0.0,70.2307,-9999,-9999,-9999,1.43386,0.0,-9999,1.37361,1.43386,1.44698,0.0,0.0,0.0,0.0332049,0.0287536,0.0293969,0.0384558,-1.41857,-1.41251,-1.39232,-1.34637,0.151251,0.140183,0.151251,0.166627,1.83332,1.79414,1.83332,2.06926,-9999,-9999
20010102,-12.481,0.0,153.069,105.597,0.0,216.361,0.0,0.052,0.0,99.204,0.0,0.0,0.0,3.698,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.1744,0.0,81.4369,-9999,-9999,-9999,53.264,0.0,56.2059,-9999,-9999,-9999,1.56915,0.0,-9999,1.54493,1.56915,1.58852,0.0,0.0,0.0,0.108883,0.097954,0.0995591,0.121302,-1.47964,-1.49449,-1.4712,-1.44076,0.358026,0.337868,0.358026,0.398951,1.874,1.83395,1.874,2.12974,-9999,-9999
20010103,-4.923,0.0,153.755,102.035,0.0,237.837,0.0,0.367,0.0,98.214,0.0,0.0,0.0,4.244,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.1269,0.0,74.8428,-9999,-9999,-9999,54.0872,0.0,56.9129,-9999,-9999,-9999,2.06919,0.0,-9999,2.01222,2.06137,2.06919,0.0,0.0,0.0,0.357395,0.331692,0.33552,0.385649,-1.70397,-1.73845,-1.70397,-1.66781,0.889784,0.854368,0.889784,0.917813,1.84438,1.80496,1.84438,2.08816,-9999,-9999
20010104,-0.935,0.0,154.499,93.933,0.0,259.145,0.0,0.99,0.0,97.563,0.0,0.0,0.0,5.227,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.2498,0.0,71.6114,-9999,-9999,-9999,66.4231,0.0,69.6947,-9999,-9999,-9999,1.43386,0.0,-9999,1.37361,1.43386,1.44698,0.0,0.0,0.0,0.640134,0.606081,0.611193,0.676881,-0.811637,-0.827775,-0.770095,-0.762419,1.34615,1.28942,1.31004,1.34615,1.77995,1.74192,1.77995,1.99442,-9999,-9999
20010105,-0.572,0.0,155.301,103.97,0.0,246.417,0.0,0.958,0.0,97.637,0.0,0.0,0.0,4.679,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.1744,0.0,80.7449,-9999,-9999,-9999,53.264,0.0,55.7283,-9999,-9999,-9999,1.56915,0.0,-9999,1.54493,1.56915,1.58852,0.0,0.0,0.0,0.608474,0.572885,0.578222,0.646964,-0.980044,-1.01437,-0.973802,-0.966704,1.33183,1.28804,1.29386,1.33183,1.86888,1.82893,1.86888,2.11881,-9999,-9999
20010106,0.902,0.0,156.162,104.158,0.0,257.712,0.0,1.104,0.0,96.955,0.0,0.0,0.0,4.796,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.1269,0.0,73.8515,-9999,-9999,-9999,54.0872,0.0,56.1591,-9999,-9999,-9999,2.06919,0.0,-9999,2.01222,2.06137,2.06919,0.0,0.0,0.0,0.719519,0.680848,0.686661,0.76112,-1.34185,-1.36298,-1.34185,-1.28529,1.50764,1.43694,1.4681,1.50764,1.87327,1.83323,1.87327,2.12389,-9999,-9999
20010107,-0.218,0.0,157.08,77.888,0.0,282.089,0.0,0.452,0.0,97.781,0.0,0.089,0.0,4.919,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.2498,0.0,70.7213,-9999,-9999,-9999,66.4231,0.0,68.8284,-9999,-9999,-9999,1.43386,0.0,-9999,1.37361,1.43386,1.44698,0.0,0.0,0.0,0.628472,0.592025,0.597493,0.66785,-0.823299,-0.841831,-0.779126,-0.776119,1.36783,1.31978,1.32931,1.36783,1.68902,1.65295,1.68902,1.84033,-9999,-9999
20010108,-3.618,0.0,158.056,100.012,0.0,254.481,0.0,0.441,0.0,98.12,0.0,0.08,0.0,2.605,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.1744,0.0,79.8077,-9999,-9999,-9999,53.264,0.0,55.0814,-9999,-9999,-9999,1.56915,0.0,-9999,1.54493,1.56915,1.58852,0.0,0.0,0.0,0.419852,0.391097,0.395389,0.451306,-1.16867,-1.20234,-1.16867,-1.14954,1.00908,0.971145,1.00733,1.02874,1.83517,1.79595,1.83517,2.07262,-9999,-9999
20010109,-4.99,0.0,159.09,107.447,0.0,239.384,0.0,0.394,0.0,98.236,0.0,0.0,0.0,3.982,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.1269,0.0,74.0374,-9999,-9999,-9999,54.0872,0.0,56.3004,-9999,-9999,-9999,2.06919,0.0,-9999,2.01222,2.06137,2.06919,0.0,0.0,0.0,0.3791,0.353375,0.357212,0.407294,-1.68227,-1.7168,-1.68227,-1.64623,0.913074,0.878249,0.913074,0.934319,1.89979,1.85918,1.89979,2.16202,-9999,-9999
20010110,2.049,0.0,160.179,104.752,0.0,263.516,0.0,1.089,0.0,97.383,0.0,0.0,0.0,6.762,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.2498,0.0,71.1037,-9999,-9999,-9999,66.4231,0.0,69.2006,-9999,-9999,-9999,1.43386,0.0,-9999,1.37361,1.43386,1.44698,0.0,0.0,0.0,0.824669,0.78405,0.790167,0.86818,-0.627102,-0.649806,-0.583446,-0.578795,1.66095,1.56323,1.61567,1.66095,1.87786,1.83772,1.87786,2.13032,-9999,-9999
