TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010101,20010107,-5.038,0.0,154.615,98.22,0.0,242.911,0.0,0.561,0.0,98.078,0.0,0.013,0.0,4.247,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.6217,0.0,86.8418,-9999,59.1388,0.0,71.7062,-9999,1.65404,0.0,-9999,1.60502,1.65404,1.66501,0.0,0.0,0.0,0.442297,0.415748,0.419721,0.471174,-1.22271,-1.22271,-1.21853,-1.1853,0.959211,0.959211,0.974358,0.996607,1.7843,1.7843,1.82326,2.05209,-9999,-9999
20010108,20010114,-1.516,0.0,161.438,86.563,0.0,269.278,0.0,0.358,0.0,97.563,0.0,2.744,0.0,4.22,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,72.8967,0.0,89.4229,-9999,57.259,0.0,70.24,-9999,1.67336,0.0,-9999,1.62949,1.67336,1.68455,0.0,0.0,0.0,0.566169,0.532848,0.537841,0.602276,-1.11838,-1.14052,-1.11206,-1.09165,1.20741,1.20741,1.21208,1.24822,1.65644,1.65644,1.69259,1.87742,-9999,-9999
20010115,20010121,-8.463,0.0,170.999,109.016,0.0,233.748,0.0,0.111,0.0,98.351,0.0,0.061,0.0,4.06,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,72.0327,0.0,84.6025,-9999,57.3766,0.0,67.3888,-9999,1.7448,0.0,-9999,1.69625,1.7448,1.7521,0.0,0.0,0.0,0.227846,0.209103,0.211881,0.24869,-1.52425,-1.53569,-1.51001,-1.48437,0.597535,0.597535,0.626117,0.666068,1.86855,1.86855,1.90936,2.17666,-9999,-9999
20010122,20010128,-6.469,0.0,183.122,107.953,0.0,241.259,0.0,0.228,0.0,98.355,0.0,1.454,0.0,4.243,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.6217,0.0,79.9172,-9999,59.1388,0.0,65.9885,-9999,1.65404,0.0,-9999,1.60502,1.65404,1.66501,0.0,0.0,0.0,0.304468,0.281859,0.285221,0.329412,-1.36054,-1.36054,-1.34349,-1.3198,0.745415,0.745415,0.777691,0.809711,1.82018,1.82018,1.85994,2.11887,-9999,-9999
20010129,20010204,-5.66,0.0,197.567,92.887,0.0,262.185,0.0,0.227,0.0,97.327,0.0,3.808,0.0,4.945,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,72.8967,0.0,83.8613,-9999,57.259,0.0,65.8714,-9999,1.67336,0.0,-9999,1.62949,1.67336,1.68455,0.0,0.0,0.0,0.376656,0.351266,0.355055,0.404435,-1.30789,-1.3099,-1.30789,-1.27444,0.866528,0.866528,0.899386,0.918376,1.68667,1.68667,1.72349,1.9259,-9999,-9999
20010205,20010211,-7.531,0.0,214.04,112.313,0.0,252.791,0.0,0.254,0.0,97.881,0.0,5.592,0.0,4.575,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,72.0327,0.0,78.4381,-9999,57.3766,0.0,62.4786,-9999,1.7448,0.0,-9999,1.69625,1.7448,1.7521,0.0,0.0,0.0,0.327826,0.306152,0.309384,0.351592,-1.42427,-1.43484,-1.40721,-1.38,0.752813,0.752813,0.782594,0.801342,1.88991,1.88991,1.93119,2.19206,-9999,-9999
20010212,20010218,-9.9,0.0,232.194,149.147,0.0,240.833,0.0,0.065,0.0,98.433,0.0,0.999,0.0,3.968,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.6217,0.0,80.8047,-9999,59.1388,0.0,66.7213,-9999,1.65404,0.0,-9999,1.60502,1.65404,1.66501,0.0,0.0,0.0,0.195643,0.179985,0.182303,0.213121,-1.46937,-1.47405,-1.43449,-1.42272,0.512363,0.512363,0.537421,0.575746,2.20092,2.20092,2.24901,2.62479,-9999,-9999
20010219,20010225,-5.669,0.0,251.651,135.631,0.0,262.642,0.0,0.16,0.0,97.77,0.0,8.897,0.0,4.455,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,72.8967,0.0,89.3378,-9999,57.259,0.0,70.1731,-9999,1.67336,0.0,-9999,1.62949,1.67336,1.68455,0.0,0.0,0.0,0.344767,0.320631,0.324226,0.371306,-1.33978,-1.34303,-1.33272,-1.30527,0.815534,0.815534,0.8491,0.875271,2.06244,2.06244,2.1075,2.42885,-9999,-9999
20010226,20010304,-7.094,0.0,272.018,160.774,0.0,250.369,0.0,0.119,0.0,97.945,0.0,1.656,0.0,3.564,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,72.0327,0.0,89.2128,-9999,57.3766,0.0,71.061,-9999,1.7448,0.0,-9999,1.69625,1.7448,1.7521,0.0,0.0,0.0,0.283117,0.261782,0.264953,0.3067,-1.46898,-1.47973,-1.4521,-1.42491,0.701281,0.701281,0.732289,0.765954,2.33881,2.33881,2.38992,2.78999,-9999,-9999
20010305,20010311,-2.741,0.0,292.902,165.927,0.0,258.101,0.0,0.532,0.0,98.007,0.0,3.221,0.0,2.752,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,35.0584,0.714286,71.6217,0.0,88.1311,-9999,59.1388,0.0,72.7708,-9999,1.65404,0.0,-9999,1.60502,1.65404,1.66501,0.0,0.0,0.0,0.501264,0.470857,0.475406,0.534337,-1.16375,-1.17587,-1.15536,-1.12961,1.09031,1.09031,1.10602,1.1315,2.35105,2.35105,2.40244,2.81425,-9999,-9999
