TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2001,10.53,0.551941,176.665,0.551941,311.11,0.551826,4.89,0.551941,97.318,0.550913,841.19,0.553425,3.403,0.553425,0.318641228335,0.517237442922,90.2883260779,0.543721461187,372.446163755,0.550456621005,-9999,-9999,-9999,-9999,-9999,-9999,387.562132956,0.544178082192,-9999,-9999,-9999,-9999,-9999,-9999,-4.52354,0.754566,87.0663,0.550114,94.5573,0.312407,18.5477,0.55137,20.1435,0.251255,-814.844,0.385502,16.2256,-861.898,-829.622,-819.262,0.391781,0.390868,0.385845,1097.7,1050.22,1097.7,1156.42,1935.34,1888.39,1905.94,2004.7,901.692,898.691,906.039,989.592,1959.66,1922.44,1935.98,1978.82,-9999,-9999
2002,10.679,1.0,179.027,1.0,307.193,1.0,5.201,1.0,97.401,0.999543,544.3,1.0,3.59,1.0,0.292195533554,0.877739726027,85.4138257495,0.999885844749,365.353141438,1.0,167.287813247,0.999885844749,44.1398638874,0.709703196347,48.0724772135,0.676826484018,366.726900913,1.0,382.656,1.0,11.321,1.0,-9999,-9999,2.2356,1.0,45.2308,0.995091,50.7297,0.203558,28.829,0.999201,32.3339,0.244943,61.7942,0.961073,5.01976,22.0125,49.9175,110.643,0.97774,0.967466,0.905365,910.352,843.54,907.183,981.546,854.963,826.668,855.556,866.458,950.726,910.696,925.909,944.202,874.899,879.809,891.963,897.725,-9999,-9999
2003,10.121,0.828196,178.112,1.0,306.672,1.0,5.856,1.0,97.216,0.992123,570.7,1.0,3.446,1.0,0.283088257961,0.881278538813,83.9694764349,0.99497716895,452.351426697,0.806164383562,163.440749378,0.996917808219,45.0749412058,0.693264840183,52.6761427995,0.649429223744,363.239289135,0.999885844749,384.242,1.0,11.068,0.990297,-9999,-9999,4.21783,1.0,46.6254,0.992922,52.0362,0.24122,24.827,0.997603,27.7081,0.222733,-354.615,0.951027,8.63879,-381.334,-358.464,-293.823,0.974429,0.962785,0.917694,934.172,902.212,922.393,960.872,1289.46,1266.44,1286.58,1301.85,1024.51,922.51,1005.88,1074.2,1447.84,1404.98,1447.37,1479.0,-9999,-9999
2004,10.347,1.0,174.026,0.999545,309.337,1.0,5.172,1.0,97.587,0.999886,670.104,1.0,3.463,0.999886,0.276287668733,0.891051912568,79.7755633824,0.996015482696,494.194807664,0.68454007286,169.213814406,0.999886156648,48.5256496163,0.656193078324,60.1620650812,0.563410746812,364.39054383,1.0,388.019,1.0,11.559,0.980305,-9999,-9999,1.73327,1.0,44.7043,0.987136,49.7129,0.212389,25.2495,0.997723,28.0784,0.229105,50.5749,0.954804,5.96782,25.1153,40.0196,58.8941,0.966189,0.95617,0.927026,938.858,874.75,907.885,932.136,872.822,849.635,857.919,872.822,988.312,888.965,934.87,1090.21,950.383,871.62,884.762,980.571,-9999,-9999
2005,11.117,1.0,178.037,0.999772,311.592,1.0,6.209,1.0,97.632,0.999886,597.45,1.0,3.499,1.0,0.279570424518,0.910730593607,82.8154211088,0.999315068493,515.105217838,0.672488584475,170.891979611,0.999885844749,45.414778048,0.688698630137,43.2179087651,0.856621004566,367.229701618,0.999885844749,386.956,1.0,11.821,0.998174,-9999,-9999,2.30757,0.999772,45.5814,0.990753,51.9451,0.209661,24.7453,0.999201,28.2,0.227441,-485.604,0.956164,6.16795,-502.641,-489.5,-464.171,0.967466,0.956507,0.945434,981.568,967.631,981.568,1005.2,1475.17,1470.27,1474.23,1476.01,1085.55,1005.6,1042.0,1064.88,1644.9,1535.28,1637.06,1653.63,-9999,-9999
2006,11.261,1.0,176.266,0.999772,311.296,1.0,6.059,1.0,97.464,0.997146,776.236,1.0,3.56,1.0,0.274496137081,0.927168949772,81.8842287572,0.999657534247,415.625783746,0.839611872146,163.318067406,0.999885844749,33.8479158514,0.818264840183,36.8824510407,0.993949771689,368.149022146,1.0,395.518,0.999201,11.108,1.0,-9999,-9999,2.22272,0.99863,43.7988,0.997146,51.383,0.206444,24.067,0.999543,28.2344,0.221211,-12.7795,0.953311,6.19173,-20.0265,-12.7889,-3.54261,0.962785,0.950228,0.940982,924.176,924.137,935.034,939.907,959.215,929.17,949.773,959.012,992.213,930.312,976.414,1004.3,1059.45,1002.57,1031.46,1049.21,-9999,-9999
2007,10.734,1.0,181.644,0.999315,311.0,1.0,5.472,1.0,97.272,0.999087,942.443,1.0,3.634,0.999658,0.294226325485,0.89703196347,82.9635909975,0.999657534247,351.746060439,0.998515981735,177.094500685,1.0,39.1378454146,0.976826484018,45.4167228009,0.995091324201,364.165711986,1.0,392.747,0.989726,12.411,1.0,-9999,-9999,0.385791,0.994863,48.666,0.996575,57.7151,0.250535,21.2552,0.996575,25.2075,0.228941,-422.202,0.95,8.32185,-440.264,-423.405,-411.22,0.965982,0.950228,0.943607,1024.45,999.423,1021.55,1027.81,1439.01,1434.13,1438.96,1444.52,1180.54,1143.49,1154.74,1171.45,1560.21,1555.35,1560.65,1569.19,-9999,-9999
2008,9.032,1.0,178.416,0.998292,300.565,1.0,4.85,1.0,97.31,0.998862,997.5,1.0,3.632,1.0,0.29235643387,0.923383424408,81.0060534794,0.999658469945,349.825854419,0.98599726776,164.615473816,1.0,44.6931278878,0.986566484517,42.2527135982,0.994535519126,355.779209476,0.999658469945,399.742,0.998065,10.343,0.998862,-9999,-9999,1.19247,0.999658,46.6735,0.998292,55.1191,0.280674,20.966,0.999658,24.7598,0.240613,0.859773,0.963798,6.72233,-38.8553,-5.3322,1.2092,0.975182,0.95617,0.962318,920.039,852.745,912.959,932.787,914.658,890.253,915.641,930.141,976.162,919.393,942.063,1014.05,1011.63,965.753,988.897,1014.27,-9999,-9999
2009,9.537,1.0,174.472,0.999543,306.229,0.999772,4.906,1.0,97.378,0.997374,611.9,1.0,3.409,0.999886,0.295743914427,0.928652968037,84.7240946865,0.998173515982,350.316419558,0.995091324201,166.372252511,1.0,39.3890951071,0.981506849315,36.5115179096,0.995319634703,358.678354496,0.998401826484,398.767,1.0,10.154,0.999543,-9999,-9999,0.560066,1.0,44.1414,0.993836,53.4585,0.184347,25.2814,0.99532,30.6176,0.234434,-643.647,0.966667,8.25353,-657.031,-648.136,-644.898,0.980251,0.959932,0.96153,1066.69,1042.16,1062.28,1070.83,1709.81,1699.08,1709.81,1716.83,1140.11,1135.71,1157.25,1170.42,1828.23,1787.65,1802.92,1826.57,-9999,-9999
2010,9.935,1.0,179.556,0.995548,313.672,0.999772,4.977,1.0,97.284,0.994977,842.4,1.0,3.467,1.0,0.277458025279,0.924200913242,82.7034377473,0.999315068493,344.075562944,0.944063926941,166.661213242,1.0,48.6074092115,0.988242009132,46.9675592794,0.997716894977,363.050331697,0.999315068493,407.347,0.999772,10.689,1.0,-9999,-9999,-0.37031,1.0,48.1577,0.981393,58.0004,0.21063,20.6955,0.99121,24.9254,0.204894,-46.846,0.95605,5.96967,-67.4485,-49.9835,-45.6344,0.970205,0.948402,0.94395,1054.96,1033.21,1052.27,1067.22,1101.74,1100.66,1104.42,1114.53,981.369,971.101,989.43,1034.72,1137.88,1082.34,1098.12,1117.97,-9999,-9999
