[P1.2-g] Conversão para objeto temporal único\n- campos usados: Data + hora_norm\n- nova coluna: date_time_raw (YYYY-MM-DD HH:MM)\n\n[Amostra]\n      Data Hora (UTC) hora_norm    date_time_raw
01/06/2017       0000     00:00 2017-06-01 00:00
01/06/2017       0100     01:00 2017-06-01 01:00
01/06/2017       0200     02:00 2017-06-01 02:00
01/06/2017       0300     03:00 2017-06-01 03:00
01/06/2017       0400     04:00 2017-06-01 04:00
01/06/2017       0500     05:00 2017-06-01 05:00
01/06/2017       0600     06:00 2017-06-01 06:00
01/06/2017       0700     07:00 2017-06-01 07:00
01/06/2017       0800     08:00 2017-06-01 08:00
01/06/2017       0900     09:00 2017-06-01 09:00
01/06/2017       1000     10:00 2017-06-01 10:00
01/06/2017       1100     11:00 2017-06-01 11:00
01/06/2017       1200     12:00 2017-06-01 12:00
01/06/2017       1300     13:00 2017-06-01 13:00
01/06/2017       1400     14:00 2017-06-01 14:00
01/06/2017       1500     15:00 2017-06-01 15:00
01/06/2017       1600     16:00 2017-06-01 16:00
01/06/2017       1700     17:00 2017-06-01 17:00
01/06/2017       1800     18:00 2017-06-01 18:00
01/06/2017       1900     19:00 2017-06-01 19:00\n
