Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
01/06/2017,0000,"24,7","24,7","24,5","90,0","91,0","90,0","23,0","23,2","22,9","997,2","997,3","997,1","1,8","209,0","3,7",,"0,0"
01/06/2017,0100,"24,6","24,7","24,4","90,0","91,0","90,0","22,8","23,0","22,8","997,7","997,7","997,2","1,6","205,0","5,1",,"0,0"
01/06/2017,0200,"24,4","24,6","24,4","90,0","90,0","89,0","22,7","22,8","22,7","997,9","997,9","997,7","2,0","191,0","5,0",,"0,0"
01/06/2017,0300,"24,3","24,5","24,3","91,0","91,0","90,0","22,7","22,8","22,7","998,3","998,3","997,9","1,2","154,0","4,4",,"0,0"
01/06/2017,0400,"23,9","24,3","23,9","94,0","94,0","91,0","22,9","23,0","22,7","998,9","999,0","998,3","1,0","205,0","2,5",,"1,4"
01/06/2017,0500,"23,6","23,9","23,6","95,0","96,0","94,0","22,9","23,1","22,8","998,6","998,9","998,6","1,6","194,0","3,6",,"0,6"
01/06/2017,0600,,,,,,,,,,,,,,,,,
01/06/2017,0700,,,,,,,,,,,,,,,,,
01/06/2017,0800,,,,,,,,,,,,,,,,,
01/06/2017,0900,,,,,,,,,,,,,,,,,
01/06/2017,1000,,,,,,,,,,,,,,,,,
01/06/2017,1100,,,,,,,,,,,,,,,,,
01/06/2017,1200,"22,5","22,7","22,5","91,0","91,0","90,0","21,0","21,0","20,9","999,5","999,5","998,3","1,7","144,0","5,2","120,10","0,0"
01/06/2017,1300,"22,9","22,9","22,4","91,0","92,0","91,0","21,4","21,4","20,9","1000,4","1000,4","999,5","1,8","167,0","3,7","290,00","0,2"
01/06/2017,1400,"23,7","23,7","22,8","86,0","91,0","86,0","21,2","21,9","21,0","1000,0","1000,4","999,9","2,6","149,0","4,7","883,60","0,0"
01/06/2017,1500,"24,2","24,3","23,7","85,0","87,0","83,0","21,4","21,7","20,9","999,9","1000,1","999,8","2,1","154,0","5,3","890,20","0,0"
01/06/2017,1600,"24,3","25,0","24,0","84,0","85,0","80,0","21,3","21,6","21,0","999,3","999,9","999,3","1,9","180,0","5,1","1061,10","0,0"
01/06/2017,1700,"25,0","25,3","24,1","81,0","84,0","79,0","21,5","21,9","20,9","998,6","999,4","998,6","1,8","156,0","4,4","1089,10","0,0"
01/06/2017,1800,"25,2","25,4","24,5","78,0","83,0","78,0","21,2","21,9","20,9","998,0","998,6","998,0","1,7","146,0","3,7","995,00","0,0"
01/06/2017,1900,"24,7","25,5","24,6","81,0","82,0","78,0","21,3","21,9","21,1","997,4","998,0","997,4","1,8","162,0","3,7","633,20","0,0"
01/06/2017,2000,"24,5","25,0","24,5","83,0","83,0","81,0","21,3","21,7","21,2","997,1","997,5","997,1","1,8","180,0","4,0","417,30","0,0"
01/06/2017,2100,"24,1","24,5","24,1","83,0","84,0","82,0","21,1","21,5","21,0","997,2","997,2","997,1","1,6","173,0","4,1","205,30","0,0"
01/06/2017,2200,"23,4","24,1","23,4","86,0","86,0","83,0","21,0","21,2","21,0","997,4","997,4","997,1","1,1","144,0","3,7","124,60","0,0"
01/06/2017,2300,"23,1","23,5","22,9","89,0","90,0","86,0","21,1","21,2","21,0","997,9","998,0","997,4","1,1","135,0","1,9",,"0,0"
02/06/2017,0000,"22,9","23,1","22,6","91,0","91,0","89,0","21,3","21,4","21,0","998,2","998,2","997,9","0,7","117,0","1,9",,"0,0"
02/06/2017,0100,,,,,,,,,,,,,,,,,
02/06/2017,0200,,,,,,,,,,,,,,,,,
02/06/2017,0300,,,,,,,,,,,,,,,,,
02/06/2017,0400,,,,,,,,,,,,,,,,,
02/06/2017,0500,,,,,,,,,,,,,,,,,
02/06/2017,0600,,,,,,,,,,,,,,,,,
02/06/2017,0700,,,,,,,,,,,,,,,,,
02/06/2017,0800,,,,,,,,,,,,,,,,,
02/06/2017,0900,,,,,,,,,,,,,,,,,
02/06/2017,1000,,,,,,,,,,,,,,,,,
02/06/2017,1100,"21,4",,,"97,0",,,"21,0",,,"995,9",,,"0,5","173,0",,"32,90","0,0"
02/06/2017,1200,"23,4","23,5","21,4","89,0","97,0","88,0","21,5","22,1","21,1","996,8","996,8","995,8","1,3","176,0","2,6","475,10","0,0"
02/06/2017,1300,"24,8","24,8","23,3","83,0","89,0","83,0","21,7","21,9","21,0","997,7","997,7","996,8","2,3","157,0","4,0","916,10","0,0"
02/06/2017,1400,"25,6","25,7","24,8","78,0","83,0","78,0","21,5","21,9","21,0","997,9","997,9","997,4","1,8","142,0","5,0","1111,40","0,0"
02/06/2017,1500,"26,4","26,5","25,3","77,0","80,0","75,0","22,1","22,1","21,2","997,5","998,0","997,5","1,4","146,0","3,8","1457,90","0,0"
02/06/2017,1600,"27,3","27,6","26,2","73,0","78,0","70,0","22,1","22,3","21,1","997,1","997,7","997,1","1,1","136,0","3,9","1496,50","0,0"
02/06/2017,1700,"27,6","27,8","26,9","72,0","74,0","70,0","22,0","22,4","21,3","997,1","997,3","997,0","1,6","137,0","3,1","1316,70","0,0"
02/06/2017,1800,"28,5","28,6","27,5","68,0","73,0","68,0","22,0","22,5","21,4","996,0","997,1","996,0","1,0","162,0","2,6","1605,20","0,0"
02/06/2017,1900,"28,5","28,9","28,0","68,0","71,0","65,0","22,0","22,6","21,4","995,7","996,0","995,6","0,8","176,0","2,7","1298,90","0,0"
02/06/2017,2000,"29,5","30,2","28,3","65,0","70,0","64,0","22,3","22,9","21,7","994,2","995,7","994,2","0,7","167,0","3,0","1423,90","0,0"
02/06/2017,2100,"29,0","29,4","27,5","67,0","75,0","65,0","22,2","23,0","21,7","995,8","996,3","994,1","0,6","84,0","3,0","454,20","0,0"
02/06/2017,2200,"26,8","29,7","26,8","80,0","80,0","67,0","23,1","23,1","22,1","996,0","996,0","994,8","0,6","185,0","1,6","243,10","0,0"
02/06/2017,2300,"25,0","26,8","25,0","88,0","88,0","80,0","22,8","23,2","22,8","997,2","997,3","996,0","0,6","186,0","1,5",,"0,0"
03/06/2017,0000,"24,6","25,2","24,6","88,0","88,0","86,0","22,5","23,0","22,5","996,7","997,2","996,7","0,7","218,0","1,5",,"0,0"
03/06/2017,0100,"24,2","24,6","24,2","91,0","91,0","88,0","22,5","22,8","22,5","996,9","996,9","996,7","0,4","213,0","1,4",,"0,0"
03/06/2017,0200,"23,5","24,1","23,4","96,0","96,0","91,0","22,7","22,7","22,2","997,1","997,2","996,8","0,3","229,0","1,1",,"0,0"
03/06/2017,0300,"23,2","23,5","23,1","96,0","96,0","96,0","22,5","22,7","22,4","997,0","997,2","997,0","0,3","217,0","0,9",,"0,0"
03/06/2017,0400,"23,1","23,3","22,8","97,0","97,0","96,0","22,5","22,6","22,2","996,7","997,0","996,7","0,5","226,0","0,9",,"0,0"
03/06/2017,0500,"23,3","23,3","23,1","97,0","97,0","97,0","22,7","22,8","22,5","996,0","996,7","996,0","0,2","86,0","1,0",,"0,0"
03/06/2017,0600,"22,7","23,4","22,7","97,0","97,0","96,0","22,2","22,8","22,2","995,5","996,0","995,5","0,3","155,0","0,9",,"0,0"
03/06/2017,0700,"22,6","22,7","22,5","97,0","97,0","97,0","22,1","22,2","22,0","995,5","995,6","995,4","0,2","170,0","0,7",,"0,0"
03/06/2017,0800,,,,,,,,,,,,,,,,,
03/06/2017,0900,,,,,,,,,,,,,,,,,
03/06/2017,1000,,,,,,,,,,,,,,,,,
03/06/2017,1100,,,,,,,,,,,,,,,,,
03/06/2017,1200,"24,4","24,5","22,7","87,0","96,0","87,0","22,1","22,6","22,1","996,2","996,3","995,9","0,6","344,0","1,3","393,60","0,0"
03/06/2017,1300,"26,3","26,3","24,1","81,0","89,0","79,0","22,7","23,0","21,8","995,8","996,2","995,8","1,0","34,0","2,3","1158,80","0,0"
03/06/2017,1400,"28,1","28,1","26,3","73,0","81,0","73,0","22,9","23,6","22,3","995,3","995,8","995,3","1,5","71,0","3,1","2192,80","0,0"
03/06/2017,1500,"29,3","29,4","27,5","67,0","75,0","67,0","22,7","23,6","22,1","996,9","996,9","995,4","1,6","82,0","3,6","2280,80","0,0"
03/06/2017,1600,"29,9","30,8","28,6","62,0","70,0","61,0","21,9","23,2","21,8","996,7","997,3","996,7","2,1","52,0","4,7","1801,30","0,0"
03/06/2017,1700,"30,5","31,3","29,3","61,0","65,0","59,0","22,2","22,9","21,4","995,4","996,7","995,4","1,9","50,0","5,2","1941,10","0,0"
03/06/2017,1800,"30,1","31,7","30,1","59,0","62,0","55,0","21,1","22,4","21,1","993,7","995,4","993,7","2,0","345,0","4,7","2459,80","0,0"
03/06/2017,1900,"31,2","32,0","30,1","56,0","61,0","54,0","21,4","22,3","20,7","993,8","994,5","993,7","2,6","12,0","5,0","1591,60","0,0"
03/06/2017,2000,"31,1","32,3","30,4","61,0","63,0","52,0","22,7","22,8","20,7","993,6","994,0","993,5","2,3","64,0","5,0","1441,30","0,0"
03/06/2017,2100,"30,1","31,7","30,1","60,0","61,0","54,0","21,4","22,4","20,7","994,3","994,4","993,3","2,0","63,0","4,3","896,40","0,0"
03/06/2017,2200,"28,4","30,1","28,4","72,0","72,0","60,0","22,9","22,9","21,4","995,5","995,5","994,4","1,2","69,0","3,6","169,80","0,0"
03/06/2017,2300,"26,0","28,4","26,0","84,0","84,0","72,0","23,0","23,2","22,9","995,9","995,9","995,5","0,2","119,0","2,3",,"0,0"
04/06/2017,0000,"24,8","26,0","24,8","90,0","90,0","84,0","23,1","23,4","23,0","995,8","996,1","995,8","0,8","196,0","1,1",,"0,0"
04/06/2017,0100,"24,3","24,8","24,3","92,0","92,0","90,0","23,0","23,2","22,9","995,7","996,1","995,7","0,6","203,0","1,1",,"0,0"
04/06/2017,0200,"23,8","24,4","23,8","95,0","95,0","92,0","23,0","23,2","23,0","995,6","995,7","995,6","0,6","153,0","1,1",,"0,0"
04/06/2017,0300,"23,6","23,9","23,6","96,0","96,0","95,0","22,9","23,1","22,9","995,8","995,8","995,6","0,3","154,0","1,2",,"0,0"
